0,1,2,3,4
UB2L3_HUMAN,7332,CBL_HUMAN,867,0.9
CNBP_HUMAN,7555,EBP2_HUMAN,10969,0.86
DEDD_HUMAN,9191,CFLAR_HUMAN,8837,0.89
DTBP1_HUMAN,84062,BL1S1_HUMAN,2647,0.89
PLK1_HUMAN,5347,PSA3_HUMAN,5684,0.88
ATG3_HUMAN,64422,ATG12_HUMAN,9140,0.9
CA106_HUMAN,55765,CYH1_HUMAN,9267,0.86
CSN8_HUMAN,10920,CSN2_HUMAN,9318,0.96
THOC2_HUMAN,57187,THOC6_HUMAN,79228,0.87
MK14_HUMAN,1432,MPIP3_HUMAN,995,0.89
PRS6B_HUMAN,5704,PSMD2_HUMAN,5708,0.96
EXOS2_HUMAN,23404,EXOSX_HUMAN,5394,0.95
SYNE2_HUMAN,23224,SUN2_HUMAN,25777,0.9
PSMD6_HUMAN,9861,PSA2_HUMAN,5683,0.94
CBP_HUMAN,1387,H4_HUMAN,8363,0.9
TBP_HUMAN,6908,PRS7_HUMAN,5701,0.89
CBX5_HUMAN,23468,ZN689_HUMAN,115509,0.86
1C01_HUMAN,3107,KI2L1_HUMAN,3802,0.9
PSD10_HUMAN,5716,MAGA4_HUMAN,4103,0.88
EGFR_HUMAN,1956,CTND1_HUMAN,1500,0.9
CHD4_HUMAN,1108,H31_HUMAN,8352,0.87
FLNB_HUMAN,2317,ITB1_HUMAN,3688,0.87
MED9_HUMAN,55090,MED6_HUMAN,10001,0.88
MCMBP_HUMAN,79892,MCM4_HUMAN,4173,0.9
PHOCN_HUMAN,25843,STRN3_HUMAN,29966,0.89
BLM_HUMAN,641,TOP3A_HUMAN,7156,0.9
SYTL3_HUMAN,94120,RB27A_HUMAN,5873,0.88
EYA2_HUMAN,2139,GNAZ_HUMAN,2781,0.88
ACTN4_HUMAN,81,COHA1_HUMAN,1308,0.86
NASP_HUMAN,4678,H31_HUMAN,8358,0.89
RED_HUMAN,3550,SMU1_HUMAN,55234,0.87
MED9_HUMAN,55090,CDK8_HUMAN,1024,0.89
PP2AB_HUMAN,5516,TCPD_HUMAN,10575,0.89
CNN1_HUMAN,1264,CALM_HUMAN,805,0.87
VAV2_HUMAN,7410,GRB2_HUMAN,2885,0.94
TIF1A_HUMAN,8805,H31_HUMAN,8356,0.87
BRF2_HUMAN,55290,TBP_HUMAN,6908,0.89
MARE1_HUMAN,22919,KI18B_HUMAN,146909,0.87
FBW1A_HUMAN,8945,UB2R1_HUMAN,997,0.9
RGS20_HUMAN,8601,GLRX3_HUMAN,10539,0.89
RCOR1_HUMAN,23186,HDAC2_HUMAN,3066,0.9
CSN8_HUMAN,10920,CSN4_HUMAN,51138,0.95
EIF3H_HUMAN,8667,EIF3M_HUMAN,10480,0.89
RNF8_HUMAN,9025,HERC2_HUMAN,8924,0.87
PEX14_HUMAN,5195,PEX7_HUMAN,5191,0.87
ODO1_HUMAN,4967,DLDH_HUMAN,1738,0.98
EPN4_HUMAN,9685,AP2A1_HUMAN,160,0.88
KLK2_HUMAN,3817,A2AP_HUMAN,5345,0.86
HIP1R_HUMAN,9026,CLCB_HUMAN,1212,0.98
SIKE1_HUMAN,80143,STRN_HUMAN,6801,0.87
DVL1_HUMAN,1855,KC1E_HUMAN,1454,0.9
PDE6D_HUMAN,5147,RHEB_HUMAN,6009,0.9
P2RY1_HUMAN,5028,AA1R_HUMAN,134,0.89
ARHG2_HUMAN,9181,1433G_HUMAN,7532,0.86
TIF1A_HUMAN,8805,H31_HUMAN,8355,0.87
"MLL1_HUMAN,KMT2A_HUMAN",4297,H31_HUMAN,8351,0.9
HDAC1_HUMAN,3065,PTMA_HUMAN,5757,0.86
H4_HUMAN,8365,KDM4A_HUMAN,9682,0.89
RFC4_HUMAN,5984,MYC_HUMAN,4609,0.86
MCM7_HUMAN,4176,MCM10_HUMAN,55388,0.87
TCPA_HUMAN,6950,TCPG_HUMAN,7203,0.94
SPN90_HUMAN,51517,NCK1_HUMAN,4690,0.9
CPSF5_HUMAN,11051,CPSF5_HUMAN,11051,0.94
RBX1_HUMAN,9978,CUL2_HUMAN,8453,0.9
CBX3_HUMAN,11335,NSL1_HUMAN,25936,0.87
MLP3A_HUMAN,84557,NBR1_HUMAN,4077,0.86
RAD51_HUMAN,5888,BRCA1_HUMAN,672,0.9
CSTF2_HUMAN,1478,CPSF2_HUMAN,53981,0.94
2ABD_HUMAN,55844,PP2AB_HUMAN,5516,0.92
TCPE_HUMAN,22948,ACTA_HUMAN,59,0.88
XPO1_HUMAN,7514,C2TA_HUMAN,4261,0.88
MED26_HUMAN,9441,MD13L_HUMAN,23389,0.86
MK03_HUMAN,5595,PTN5_HUMAN,84867,0.95
GNA13_HUMAN,10672,PAR1_HUMAN,2149,0.88
MED26_HUMAN,9441,MED7_HUMAN,9443,0.87
MET_HUMAN,4233,GRB2_HUMAN,2885,0.9
SNPC1_HUMAN,6617,SNPC5_HUMAN,10302,0.88
TCL1A_HUMAN,8115,AKT1_HUMAN,207,0.9
RBM39_HUMAN,9584,JUN_HUMAN,3725,0.88
H2A1B_HUMAN,8335,H4_HUMAN,8359,0.9
RFWD2_HUMAN,64326,DDB1_HUMAN,1642,0.89
MED30_HUMAN,90390,MED21_HUMAN,9412,0.89
CBX5_HUMAN,23468,RBBP4_HUMAN,5928,0.87
PP2AA_HUMAN,5515,IGBP1_HUMAN,3476,0.97
STRN_HUMAN,6801,TCPB_HUMAN,10576,0.87
HSP74_HUMAN,3308,SGTA_HUMAN,6449,0.92
INT3_HUMAN,65123,SOSB2_HUMAN,64859,0.88
FAN1_HUMAN,22909,FAN1_HUMAN,22909,0.88
TRAF2_HUMAN,7186,TNR1A_HUMAN,7132,0.96
GBB5_HUMAN,10681,RGS11_HUMAN,8786,0.87
UHRF2_HUMAN,115426,PCNA_HUMAN,5111,0.89
VGFR3_HUMAN,2324,GRB2_HUMAN,2885,0.87
KSYK_HUMAN,6850,FCG2A_HUMAN,2212,0.9
M3K7_HUMAN,6885,IKKB_HUMAN,3551,0.88
PTN3_HUMAN,5774,1433B_HUMAN,7529,0.9
SMCE1_HUMAN,6605,SMRC2_HUMAN,6601,0.88
BBS7_HUMAN,55212,TCPB_HUMAN,10576,0.86
UBP14_HUMAN,9097,PSMD4_HUMAN,5710,0.93
CDK6_HUMAN,1021,CDN2D_HUMAN,1032,0.97
IL10_HUMAN,3586,IL10_HUMAN,3586,0.89
PSD13_HUMAN,5719,PSA1_HUMAN,5682,0.94
COG3_HUMAN,83548,COG6_HUMAN,57511,0.89
PAR6A_HUMAN,50855,PARD3_HUMAN,56288,0.99
FBXW5_HUMAN,54461,DDB1_HUMAN,100290337,0.87
LAP2A_HUMAN,7112,LMNA_HUMAN,4000,0.9
HDAC1_HUMAN,3065,H4_HUMAN,8368,0.96
SKAP2_HUMAN,8935,FYN_HUMAN,2534,0.92
CBX5_HUMAN,23468,H4_HUMAN,8360,0.9
KCC2A_HUMAN,815,CD5R1_HUMAN,8851,0.86
PBX1_HUMAN,5087,PKNX1_HUMAN,5316,0.9
MED29_HUMAN,55588,MED20_HUMAN,9477,0.9
COPE_HUMAN,11316,COPB_HUMAN,1315,0.88
PR15A_HUMAN,23645,HSP7C_HUMAN,3312,0.86
NR4A1_HUMAN,3164,RXRA_HUMAN,6256,0.89
PP2AA_HUMAN,5515,RAF1_HUMAN,5894,0.87
MATN4_HUMAN,8785,MATN1_HUMAN,4146,0.87
SRRM1_HUMAN,10250,1433G_HUMAN,7532,0.86
TACC1_HUMAN,6867,RUXG_HUMAN,6637,0.89
REPS2_HUMAN,9185,GRB2_HUMAN,2885,0.89
BBC3_HUMAN,27113,B2CL1_HUMAN,598,0.97
SECR_HUMAN,6343,SCTR_HUMAN,6344,0.87
FADD_HUMAN,8772,CFLAR_HUMAN,8837,0.97
LYST_HUMAN,1130,CSK2B_HUMAN,1460,0.87
PTN22_HUMAN,26191,PTN22_HUMAN,26191,0.87
TAB3_HUMAN,257397,TAB1_HUMAN,10454,0.89
P53_HUMAN,7157,HSPB1_HUMAN,3315,0.88
SIAH2_HUMAN,6478,VAV_HUMAN,7409,0.89
PRDX1_HUMAN,5052,PRDX1_HUMAN,5052,0.86
RGS4_HUMAN,5999,GNAI1_HUMAN,2770,0.95
H4_HUMAN,8362,RBBP4_HUMAN,5928,0.94
COM1_HUMAN,5932,EXO1_HUMAN,9156,0.86
MK08_HUMAN,5599,CRK_HUMAN,1398,0.9
CCNH_HUMAN,902,MAT1_HUMAN,4331,0.97
E2F1_HUMAN,1869,CDK2_HUMAN,1017,0.88
CBX1_HUMAN,10951,ADNP2_HUMAN,22850,0.86
ATF6A_HUMAN,22926,ATF6A_HUMAN,22926,0.89
KAPCA_HUMAN,5566,KAP3_HUMAN,5577,0.96
GBG7_HUMAN,2788,GBB4_HUMAN,59345,0.91
HS105_HUMAN,10808,UBA1_HUMAN,7317,0.92
USO1_HUMAN,8615,GOGB1_HUMAN,2804,0.87
ABL1_HUMAN,25,P85A_HUMAN,5295,0.9
MYC_HUMAN,4609,SMC2_HUMAN,10592,0.86
NFKB2_HUMAN,4791,SUMO1_HUMAN,7341,0.86
DHH_HUMAN,50846,HHIP_HUMAN,64399,0.96
MED10_HUMAN,84246,MED9_HUMAN,55090,0.89
LSM7_HUMAN,51690,LSM2_HUMAN,57819,0.93
PSB9_HUMAN,5698,PSA7_HUMAN,5688,0.89
IF2B_HUMAN,8894,IF2G_HUMAN,1968,0.89
SMC3_HUMAN,9126,STAG2_HUMAN,10735,0.88
LYAR_HUMAN,55646,RL23A_HUMAN,6147,0.86
HGS_HUMAN,9146,HAP1_HUMAN,9001,0.89
PR40A_HUMAN,55660,HD_HUMAN,3064,0.9
IBTK_HUMAN,25998,BTK_HUMAN,695,0.9
EIF3A_HUMAN,8661,EIF3D_HUMAN,8664,0.97
LAT_HUMAN,27040,PLCG1_HUMAN,5335,0.97
COG3_HUMAN,83548,COG4_HUMAN,25839,0.94
BNIPL_HUMAN,149428,B2CL1_HUMAN,598,0.87
CCR3_HUMAN,1232,CCL11_HUMAN,6356,0.9
SIAH1_HUMAN,6477,SYPH_HUMAN,6855,0.89
NCOA6_HUMAN,23054,GCR_HUMAN,2908,0.88
PRS4_HUMAN,5700,PSMD8_HUMAN,5714,0.92
PO3F2_HUMAN,5454,PQBP1_HUMAN,10084,0.87
ZRAN1_HUMAN,54764,"FA40A_HUMAN,STRP1_HUMAN",85369,0.86
CD2_HUMAN,914,LCK_HUMAN,3932,0.96
PSMD6_HUMAN,9861,PRS8_HUMAN,5705,0.94
H31_HUMAN,8351,H4_HUMAN,8361,0.99
MLH1_HUMAN,4292,"SPTA2_HUMAN,SPTN1_HUMAN",6709,0.88
H31_HUMAN,8356,HAT1_HUMAN,8520,0.88
GHR_HUMAN,2690,GRB2_HUMAN,2885,0.87
CEP55_HUMAN,55165,PDC6I_HUMAN,10015,0.9
NU153_HUMAN,9972,IMB1_HUMAN,3837,0.9
NELFB_HUMAN,25920,JUN_HUMAN,3725,0.89
ARSA_HUMAN,410,ARSA_HUMAN,410,0.89
TINF2_HUMAN,26277,TE2IP_HUMAN,54386,0.9
EXOSX_HUMAN,5394,EXOS8_HUMAN,11340,0.87
KAT2B_HUMAN,8850,KAT2B_HUMAN,8850,0.89
VP37A_HUMAN,137492,VPS28_HUMAN,51160,0.9
MARK2_HUMAN,2011,KI13B_HUMAN,23303,0.87
H4_HUMAN,8360,MCM2_HUMAN,4171,0.89
SPYA_HUMAN,189,PEX5_HUMAN,5830,0.89
DAXX_HUMAN,1616,UBP7_HUMAN,7874,0.89
PELI1_HUMAN,57162,IRAK1_HUMAN,3654,0.9
H32_HUMAN,653604,H4_HUMAN,8294,0.89
GRAP_HUMAN,10750,LAT_HUMAN,27040,0.89
HDAC1_HUMAN,3065,P66A_HUMAN,54815,0.89
CBX3_HUMAN,11335,CHD4_HUMAN,1108,0.87
SPY4_HUMAN,81848,TESK1_HUMAN,7016,0.88
SHH_HUMAN,6469,HHIP_HUMAN,64399,0.94
GCP3_HUMAN,10426,GCP2_HUMAN,10844,0.94
UBE4B_HUMAN,10277,UB2D3_HUMAN,7323,0.9
H2AX_HUMAN,3014,H4_HUMAN,8294,0.94
SNF5_HUMAN,6598,SMRC2_HUMAN,6601,0.94
E41L3_HUMAN,23136,1433T_HUMAN,10971,0.9
TFB1M_HUMAN,51106,TFAM_HUMAN,7019,0.88
OTX2_HUMAN,5015,FOXA2_HUMAN,3170,0.86
SNUT1_HUMAN,9092,UBL5_HUMAN,59286,0.9
FHOD1_HUMAN,29109,RAC1_HUMAN,5879,0.89
SC22B_HUMAN,9554,STX5_HUMAN,6811,0.98
TBP_HUMAN,6908,TAF4_HUMAN,6874,0.89
EHMT2_HUMAN,10919,HDAC2_HUMAN,3066,0.86
RRAGC_HUMAN,64121,NOL8_HUMAN,55035,0.87
PGFRB_HUMAN,5159,GRB2_HUMAN,2885,0.9
EMC2_HUMAN,9694,EMC8_HUMAN,10328,0.89
TAU_HUMAN,4137,TAU_HUMAN,4137,0.9
TCAM2_HUMAN,100302736,TRAF6_HUMAN,7189,0.86
VWF_HUMAN,7450,VWF_HUMAN,7450,0.9
ATN1_HUMAN,1822,WWP2_HUMAN,11060,0.88
EGFR_HUMAN,1956,CRK_HUMAN,1398,0.9
RNPS1_HUMAN,10921,RENT2_HUMAN,26019,0.87
H2A1B_HUMAN,3012,H4_HUMAN,8361,0.9
RPGR_HUMAN,6103,PDE6D_HUMAN,5147,0.9
TPRKB_HUMAN,51002,PRPK_HUMAN,112858,0.97
THOC2_HUMAN,57187,THOC1_HUMAN,9984,0.87
AKAP9_HUMAN,10142,KC1D_HUMAN,1453,0.87
H4_HUMAN,554313,TBL1X_HUMAN,6907,0.88
FKB1A_HUMAN,2280,FKB1A_HUMAN,2280,0.96
TRAF6_HUMAN,7189,MAVS_HUMAN,57506,0.9
FADD_HUMAN,8772,CASPA_HUMAN,843,0.9
SUMO1_HUMAN,7341,JUN_HUMAN,3725,0.93
WDR5_HUMAN,11091,H31_HUMAN,8355,0.9
PRGC1_HUMAN,10891,PPARG_HUMAN,5468,0.9
PLXB1_HUMAN,5364,RND2_HUMAN,8153,0.87
TROAP_HUMAN,10024,MARE1_HUMAN,22919,0.88
PIN1_HUMAN,5300,MPIP3_HUMAN,995,0.89
RASM_HUMAN,22808,GNDS_HUMAN,5900,0.87
BAD_HUMAN,572,1433B_HUMAN,7529,0.88
PCM1_HUMAN,5108,CCD14_HUMAN,64770,0.87
SNX9_HUMAN,51429,SNX9_HUMAN,51429,0.9
SMAD3_HUMAN,4088,SMAD3_HUMAN,4088,0.9
CRYAB_HUMAN,1410,CISY_HUMAN,1431,0.86
RAC1_HUMAN,5879,NCF2_HUMAN,4688,0.9
NXF1_HUMAN,10482,THOC4_HUMAN,10189,0.86
LSM3_HUMAN,27258,LSM2_HUMAN,57819,0.99
STAT1_HUMAN,6772,E2AK2_HUMAN,5610,0.88
ZO1_HUMAN,7082,AFAD_HUMAN,4301,0.88
H31_HUMAN,8352,PHF20_HUMAN,51230,0.88
COM1_HUMAN,5932,MRE11_HUMAN,4361,0.88
GRB2_HUMAN,2885,"FA59A_HUMAN,GARE1_HUMAN",64762,0.87
RNF11_HUMAN,26994,WWP1_HUMAN,11059,0.86
CSN6_HUMAN,10980,FBX44_HUMAN,93611,0.86
P53_HUMAN,7157,ESR1_HUMAN,2099,0.89
ING2_HUMAN,3622,SMUF1_HUMAN,57154,0.88
HNRPC_HUMAN,3183,HNRPD_HUMAN,3184,0.86
PDC6I_HUMAN,10015,PDC6I_HUMAN,10015,0.87
HNF1A_HUMAN,6927,PHS_HUMAN,5092,0.9
PTN6_HUMAN,5777,IL4RA_HUMAN,3566,0.89
1433G_HUMAN,7532,PARD3_HUMAN,56288,0.86
GPN1_HUMAN,11321,GPN3_HUMAN,51184,0.97
APC1_HUMAN,64682,APC4_HUMAN,29945,0.9
TES_HUMAN,26136,ACL7A_HUMAN,10881,0.9
RPB1_HUMAN,5430,PIN1_HUMAN,5300,0.91
GGA1_HUMAN,26088,SORL_HUMAN,6653,0.9
MCM2_HUMAN,4171,H33_HUMAN,3020,0.87
EP300_HUMAN,2033,BRCA1_HUMAN,672,0.9
THA_HUMAN,7067,NCOR2_HUMAN,9612,0.89
PIN1_HUMAN,5300,CSK21_HUMAN,1457,0.89
SH21A_HUMAN,4068,CD244_HUMAN,51744,0.97
SFPQ_HUMAN,6421,SNRPA_HUMAN,6626,0.88
ADH7_HUMAN,131,ADH7_HUMAN,131,0.88
H31T_HUMAN,8290,H4_HUMAN,554313,0.96
PRKX_HUMAN,5613,KAP0_HUMAN,5573,0.88
H4_HUMAN,8365,MCM5_HUMAN,4174,0.93
LCP2_HUMAN,3937,ITK_HUMAN,3702,0.97
SEPT7_HUMAN,989,SEP11_HUMAN,55752,0.94
UB2L6_HUMAN,9246,TRI25_HUMAN,7706,0.89
HS90A_HUMAN,3320,M3K14_HUMAN,9020,0.88
COPB_HUMAN,1315,ARF1_HUMAN,375,0.88
ANC2_HUMAN,29882,UBE2C_HUMAN,11065,0.89
