Protein1,Protein2,InteractionProbability
CNBP_HUMAN,EBP2_HUMAN,0.86
DTBP1_HUMAN,BL1S1_HUMAN,0.89
PLK1_HUMAN,PSA3_HUMAN,0.88
ATG3_HUMAN,ATG12_HUMAN,0.9
CSN8_HUMAN,CSN2_HUMAN,0.96
THOC2_HUMAN,THOC6_HUMAN,0.87
EXOS2_HUMAN,EXOSX_HUMAN,0.95
SYNE2_HUMAN,SUN2_HUMAN,0.9
PSMD6_HUMAN,PSA2_HUMAN,0.94
CBP_HUMAN,H4_HUMAN,0.9
CBX5_HUMAN,ZN689_HUMAN,0.86
MED9_HUMAN,MED6_HUMAN,0.88
MCMBP_HUMAN,MCM4_HUMAN,0.9
PHOCN_HUMAN,STRN3_HUMAN,0.89
BLM_HUMAN,TOP3A_HUMAN,0.9
SYTL3_HUMAN,RB27A_HUMAN,0.88
ACTN4_HUMAN,COHA1_HUMAN,0.86
RED_HUMAN,SMU1_HUMAN,0.87
BRF2_HUMAN,TBP_HUMAN,0.89
RGS20_HUMAN,GLRX3_HUMAN,0.89
CSN8_HUMAN,CSN4_HUMAN,0.95
EIF3H_HUMAN,EIF3M_HUMAN,0.89
RNF8_HUMAN,HERC2_HUMAN,0.87
PEX14_HUMAN,PEX7_HUMAN,0.87
ODO1_HUMAN,DLDH_HUMAN,0.98
EPN4_HUMAN,AP2A1_HUMAN,0.88
KLK2_HUMAN,A2AP_HUMAN,0.86
PDE6D_HUMAN,RHEB_HUMAN,0.9
RFC4_HUMAN,MYC_HUMAN,0.86
MCM7_HUMAN,MCM10_HUMAN,0.87
TCPA_HUMAN,TCPG_HUMAN,0.94
CPSF5_HUMAN,CPSF5_HUMAN,0.94
RAD51_HUMAN,BRCA1_HUMAN,0.9
CSTF2_HUMAN,CPSF2_HUMAN,0.94
XPO1_HUMAN,C2TA_HUMAN,0.88
MED26_HUMAN,MD13L_HUMAN,0.86
MED26_HUMAN,MED7_HUMAN,0.87
SNPC1_HUMAN,SNPC5_HUMAN,0.88
RFWD2_HUMAN,DDB1_HUMAN,0.89
MED30_HUMAN,MED21_HUMAN,0.89
CBX5_HUMAN,RBBP4_HUMAN,0.87
FAN1_HUMAN,FAN1_HUMAN,0.88
TRAF2_HUMAN,TNR1A_HUMAN,0.96
GBB5_HUMAN,RGS11_HUMAN,0.87
UHRF2_HUMAN,PCNA_HUMAN,0.89
KSYK_HUMAN,FCG2A_HUMAN,0.9
M3K7_HUMAN,IKKB_HUMAN,0.88
SMCE1_HUMAN,SMRC2_HUMAN,0.88
BBS7_HUMAN,TCPB_HUMAN,0.86
IL10_HUMAN,IL10_HUMAN,0.89
PSD13_HUMAN,PSA1_HUMAN,0.94
COG3_HUMAN,COG6_HUMAN,0.89
FBXW5_HUMAN,DDB1_HUMAN,0.87
LAP2A_HUMAN,LMNA_HUMAN,0.9
CBX5_HUMAN,H4_HUMAN,0.9
PBX1_HUMAN,PKNX1_HUMAN,0.9
MED29_HUMAN,MED20_HUMAN,0.9
COPE_HUMAN,COPB_HUMAN,0.88
MATN4_HUMAN,MATN1_HUMAN,0.87
TACC1_HUMAN,RUXG_HUMAN,0.89
SECR_HUMAN,SCTR_HUMAN,0.87
FADD_HUMAN,CFLAR_HUMAN,0.97
LYST_HUMAN,CSK2B_HUMAN,0.87
PTN22_HUMAN,PTN22_HUMAN,0.87
TAB3_HUMAN,TAB1_HUMAN,0.89
PRDX1_HUMAN,PRDX1_HUMAN,0.86
H4_HUMAN,RBBP4_HUMAN,0.94
CCNH_HUMAN,MAT1_HUMAN,0.97
ATF6A_HUMAN,ATF6A_HUMAN,0.89
HS105_HUMAN,UBA1_HUMAN,0.92
USO1_HUMAN,GOGB1_HUMAN,0.87
MYC_HUMAN,SMC2_HUMAN,0.86
MED10_HUMAN,MED9_HUMAN,0.89
LSM7_HUMAN,LSM2_HUMAN,0.93
IF2B_HUMAN,IF2G_HUMAN,0.89
LYAR_HUMAN,RL23A_HUMAN,0.86
HGS_HUMAN,HAP1_HUMAN,0.89
PR40A_HUMAN,HD_HUMAN,0.9
EIF3A_HUMAN,EIF3D_HUMAN,0.97
LAT_HUMAN,PLCG1_HUMAN,0.97
COG3_HUMAN,COG4_HUMAN,0.94
NCOA6_HUMAN,GCR_HUMAN,0.88
PRS4_HUMAN,PSMD8_HUMAN,0.92
